"LaunchTime","InstanceId","PublicDnsName"
"6/9/2020 7:11:27 AM","i-0f5a37e35776e7a56","ec2-35-162-244-178.us-west-2.compute.amazonaws.com"
"6/9/2020 7:13:01 AM","i-0fd26652be7c4f156","ec2-34-217-99-58.us-west-2.compute.amazonaws.com"
